ID;CATEGORY;NAME;ATTRIBUTE1;ATTRIBUTE2;VALUE1;VALUE2;DESCRIPTION;BRAND;FEATURE;PRICE;PVP_BIGBUY;PVD;IVA;VIDEO;EAN13;WIDTH;HEIGHT;DEPTH;WEIGHT;STOCK;DATE_ADD;DATE_UPD;IMAGE1;IMAGE2;IMAGE3;IMAGE4;IMAGE5;IMAGE6;IMAGE7;IMAGE8;IMAGE_ENERGY_EFFICIENCY;CONDITION;INTRASTAT
J2000291;2678,3045;"OUTLET Playz Kidz Kinetic Sand for Children (No packaging)";;;;;"<p>Bring the beach home with the<strong> Playz Kidz kinetic sand for children</strong>! The perfect gift to surprise your little ones, who will have a great time building every kind of castle and shape in the sand. This fun and original game develops children's artistic talents and creativity. Includes approx. 0.5 kg of kinetic sand and 3 plastic accessories: one roller, one spade and one putty knife. Non-toxic. Does not stain clothes or stick to hands. Recommended age: 3+ years.</p><p><strong><a href=""http://www.playzkidz.com"">www.playzkidz.com</a></strong></p><p><strong>NOTE: This product has slight cosmetic damage, such as scratches or scuffs, which does not affect its operation. Shipped in standard packaging.</strong></p>";1;;11.9;6.5;3.99;21;0;7569001067984;14;17;14;0.65;16;"2016-03-22 15:42:17";"2024-12-10 16:03:00";https://cdnbigbuy.com/images/J2000291_000_MKT1.jpg;https://cdnbigbuy.com/images/J2000291_010_WBG1.jpg;https://cdnbigbuy.com/images/J2000291_020_WBG1.jpg;;;;;;;NEW;73239900
J2000442;2678,2680;"Sunglasses IG812935";;;;;"If you like to show off the latest in <b>fashion & complements</b> and accessories are vital for your look, don't miss out on <b>Sunglasses IG812935</b>! Show off the best brands of <b>sunglasses</b>.<br><br><ul><li>Type: Sunglasses</li></ul>";3222;;14.99;6.25;3.37;21;0;7569001067946;10.5;5;8.5;0.115;66;"2022-08-30 11:32:03";"2024-07-07 17:53:32";https://cdnbigbuy.com/images/J2000442_000_MKT3.jpg;https://cdnbigbuy.com/images/J2000442_010_MKT3.jpg;https://cdnbigbuy.com/images/J2000442_020_WBG3.jpg;https://cdnbigbuy.com/images/J2000442_030_WBG3.jpg;;;;;;NEW;90041099
J2000445;2678,2680;"Sunglasses Shine Inline V0101002";;;;;"If you like to show off the latest in <b>fashion & complements</b> and accessories are vital for your look, don't miss out on <b>Sunglasses Shine Inline V0101002</b>! Show off the best brands of <b>sunglasses</b>.<br><br><ul><li>Type: Sunglasses</li></ul>";1;;14.99;6.25;3.37;21;0;7569001067915;11;8.5;5.1;0.113;39;"2022-08-30 06:07:04";"2025-01-17 18:59:49";https://cdnbigbuy.com/images/J2000445_000_MKT3.jpg;https://cdnbigbuy.com/images/J2000445_010_MKT3.jpg;https://cdnbigbuy.com/images/J2000445_020_MKT3.jpg;https://cdnbigbuy.com/images/J2000445_030_WBG3.jpg;https://cdnbigbuy.com/images/J2000445_040_WBG3.jpg;https://cdnbigbuy.com/images/J2000445_050_WBG3.jpg;;;;NEW;90041099
M0600231;2678,3045;"Boots Trixie 19464 Black (M - L)";;;;;"If you are looking for new market trending items, we present the <b>Boots Trixie 19464 Black (M - L)</b>!<br><br><ul><li>Colour: Black</li><li>Pet: Dog</li><li>Size: M/L</li><li>Material: PVC</li><li>Number of pieces: 2 Pieces</li></ul>";4351;;22.34;15.64;12.51;21;0;4011905194646;18.4;3.8;13.7;0.079;49;"2024-12-16 14:20:12";"2025-01-23 04:14:08";https://cdnbigbuy.com/images/4011905194646_M0600231_P00.jpg;https://cdnbigbuy.com/images/4011905194646_M0600231_P10.jpg;https://cdnbigbuy.com/images/4011905194646_M0600231_P20.jpg;https://cdnbigbuy.com/images/4011905194646_M0600231_P30.jpg;;;;;;NEW;64019210
S05101896;2678,3045;"Intimate Female Spray Vagisil VAGISIL SPRAY 125 ml";;;;;"<p>If you're looking for the best for your <b>intimate hygiene</b> at the best prices, <b>Intimate Female Spray Vagisil VAGISIL SPRAY 125 ml</b> is what you need!</p><br><br><ul><li>Capacity: 125 ml</li><li>Characteristics: pH neutral</li><li>Gender: Lady</li><li>Recommended use: All skin types</li><li>Ingredients: <ul><li>Polysorbate 20</li><li>Propylene glycol</li><li>Propylparaben</li><li>Tocopheryl acetate</li><li>Chamomilla recutita (matricaria) flower extract</li><li>Citric acid</li><li>Disodium edta</li><li>Dmdm hydantoin</li><li>Hydroxyethylcellulose</li><li>Methylparaben</li><li>Glycerin</li><li>Aloe barbadensis leaf juice</li></ul></li></ul>";15627;;11.91;8.34;6.67;21;0;8413853780005;4.5;15.5;4.5;0.103;0;"2024-11-21 18:34:51";"2025-01-12 17:35:06";https://cdnbigbuy.com/images/8413853780005_S05101896_P00.jpg;https://cdnbigbuy.com/images/8413853780005_A00.jpg;;;;;;;;NEW;33049900
S0582258;2678,3045;"Collagen Ana María Lajusticia Colágeno Con Magnesio Magnesium (450 uds)";;;;;"<p><b>Collagen Ana María Lajusticia Colágeno Con Magnesio Magnesium (450 uds)</b> is a quality product designed for discerning individuals who look after their appearance and are looking for the best cosmetics to enhance their beauty. If you are one of them, the 100% original <b>Ana María Lajusticia products</b> are made for you.</p><br><br><ul><li>Mineral: Magnesium</li><li>Duration: 150 Days</li><li>Tablets: 450 uds</li><li>Gender: Unisex</li><li>Ingredients: Collagen</li></ul>";4291;;28.27;21.2;18.66;10;0;8436000680652;8;18;8;0.376;0;"2024-12-19 14:36:14";"2025-01-13 10:05:10";https://cdnbigbuy.com/images/8436000680652_S0582258_P02.jpg;;;;;;;;;NEW;33049900
S0594237;2678,3045;"Food Supplement Apiserum Vitalidad 18 Units";;;;;"<p><b>Food Supplement Apiserum Vitalidad 18 Units</b> is a quality product designed for discerning individuals who look after their appearance and are looking for the best cosmetics to enhance their beauty. If you are one of them, the 100% original <b>Apiserum products</b> are made for you.</p><br><br><ul><li>Gender: Unisex</li><li>Ingredients: <ul><li>Vitamin C</li><li>Zinc</li><li>Water</li><li>Royal jelly</li><li>Potassium sorbate</li><li>Biotin</li></ul></li><li>Important information: <ul><li>Gluten-free</li><li>Lactose free</li></ul></li><li>Type: Food Supplement</li><li>Properties: Significant source of energy and vitality</li><li>Units: 18 Units</li><li>Format: Ampoules</li></ul>";14865;;23.04;17.28;15.21;10;0;8470001897275;5;11;12;0.334;0;"2023-12-13 00:53:12";"2024-11-14 11:59:14";https://cdnbigbuy.com/images/8470001897275_S0594237_P01.jpg;;;;;;;;;NEW;33049900
S0598085;2678,3045;"CC Cream Ziaja Cc Cream Spf 10 50 ml";;;;;"<p><b>CC Cream Ziaja Cc Cream Spf 10 50 ml</b> is a quality product designed for discerning individuals who look after their appearance and are looking for the best cosmetics to enhance their beauty. If you are one of them, the 100% original <b>Ziaja products</b> are made for you.</p><br><br><ul><li>Type: <ul><li>Make-up</li><li>Facial Corrector</li></ul></li><li>Spf: Spf 10</li><li>Material: <ul><li>Hyaluronic Acid</li><li>Vitamin C</li></ul></li><li>Properties: <ul><li>Moisturizing</li><li>Balancing</li></ul></li><li>Recommended use: <ul><li>Sensitive skin</li><li>Dry Skin</li></ul></li><li>Characteristics: Vegan</li><li>Gender: Lady</li><li>Ingredients: <ul><li>Vitamin C</li><li>Polysorbate 80</li><li>Potassium cetyl phosphate</li><li>Propylene glycol</li><li>Sodium hyaluronate</li><li>Sodium benzoate</li><li>Tin oxide</li><li>Titanium dioxide</li><li>Tocopheryl acetate</li><li>Triethylhexanoin</li><li>Ubiquinone</li><li>Water (Aqua)</li><li>Xanthan gum</li><li>Boron nitride</li><li>Butyl methoxydibenzoylmethane</li><li>Butylene glycol</li><li>C12-15 alkyl benzoate</li><li>Dimethicone</li><li>Dimethiconol</li><li>Escin</li><li>Ethylhexyl triazone</li><li>Fragance (parfum)</li><li>Glyceryl stearate</li><li>Isohexadecane</li><li>Mica</li><li>Panthenol</li><li>Peg-100 stearate</li><li>Phenoxyethanol</li><li>Glycerin</li><li>Cetearyl alcohol</li><li>Ascorbyl palmitate</li><li>Lecithin</li><li>Hyaluronic Acid</li></ul></li><li>Capacity: 50 ml</li></ul>";15372;;8.9;6.23;4.36;21;0;5901887038344;5;12.5;3.5;0.07;0;"2023-12-13 00:23:30";"2025-01-09 09:04:09";https://cdnbigbuy.com/images/5901887038344_A02.jpg;;;;;;;;;NEW;33049900
V0701119;2678,2679;"Portable Speaker bb_I3505222 Multicolour (Refurbished A+)";;;;;"If you're passionate about <b>IT and electronics</b>, like being up to date on technology and don't miss even the slightest details, buy <b> Portable Speaker bb_I3505222 Multicolour (Refurbished A+) </b> at an unbeatable price.<br><br><ul><li>Colour: Multicolour</li><li>Material: Plastic</li><li>Automatic shutdown: No</li><li>Weight: 690 g</li></ul>REFURBISHED: These are products that have been returned within their return period or display products that have occasionally been used for demonstrations some are sold with some damage to the packaging or with the original packaging having been opened. All products have been checked, they include the official brand guarantee and are in perfect working order. Depending on their condition, they are classed as:<br/><ul> <li>A+/ Perfect: products in perfect condition whose original packaging may have been opened or substituted by other packaging that is in very good condition.</li> <li>A/ As New: products that are in perfect, as new, condition, their original packaging may have been opened, have some damage or may have been substituted by other packaging.</li> <li>B/ Very Good: products that are in very good condition, with possible slight aesthetic imperfections, they function perfectly and their original packaging may have been opened or have some damage.</li> <li>C/ Good Condition: products are in good condition, with possible aesthetic imperfections but working perfectly, their original packaging may have been opened or have some damage.</li> <li>D/ Correct: Products in correct condition, with possible aesthetic imperfections or lacking an accessory, in perfect working condition and their original packaging may have been opened or have some damage.</li> </ul>";3228;;9.9;3.27;1.69;21;0;4899888107569;14;31;14;0.686;0;"2024-10-04 22:56:07";"2024-10-04 14:24:23";https://cdnbigbuy.com/images/V0701119_905350.jpg;https://cdnbigbuy.com/images/V0701119_905360.jpg;https://cdnbigbuy.com/images/V0701119_905370.jpg;https://cdnbigbuy.com/images/V0701119_905380.jpg;https://cdnbigbuy.com/images/V0701119_905390.jpg;;;;;REFURBISHED_A_PLUS;85182200
